Ticker,Industry,2024-Tax Effect Of Unusual Items,2024-Tax Rate For Calcs,2024-Normalized EBITDA,2024-Net Income From Continuing Operation Net Minority Interest,2024-Reconciled Depreciation,2024-Reconciled Cost Of Revenue,2024-Net Interest Income,2024-Interest Expense,2024-Diluted Average Shares,2024-Diluted EPS,2024-Tax Provision,2024-Other Income Expense,2024-Other Non Operating Income Expenses,2024-Net Non Operating Interest Income Expense,2024-Interest Expense Non Operating,2024-Interest Income Non Operating,2024-Operating Expense,2024-Research And Development,2024-Selling General And Administration,2023-Tax Effect Of Unusual Items,2023-Tax Rate For Calcs,2023-Tax Provision,2023-Other Non Operating Income Expenses,2022-Tax Effect Of Unusual Items,2022-Tax Rate For Calcs,2022-Other Non Operating Income Expenses,2021-Tax Effect Of Unusual Items,2021-Tax Rate For Calcs,2021-Reconciled Cost Of Revenue,2021-Interest Expense,2021-Diluted Average Shares,2021-Other Non Operating Income Expenses,2021-Operating Expense,2021-Selling General And Administration,2024-Tax Rate For Calcs_pct,2024-Normalized EBITDA_pct,2024-Net Income From Continuing Operation Net Minority Interest_pct,2024-Reconciled Depreciation_pct,2024-Reconciled Cost Of Revenue_pct,2024-Net Interest Income_pct,2024-Interest Expense_pct,2024-Normalized Income_pct,2024-Diluted Average Shares_pct,2024-Diluted EPS_pct,2024-Tax Provision_pct,2024-Other Income Expense_pct,2024-Other Non Operating Income Expenses_pct,2024-Net Non Operating Interest Income Expense_pct,2024-Interest Income Non Operating_pct,2024-Operating Expense_pct,2024-Research And Development_pct,2024-Selling General And Administration_pct,2024-Total Revenue_pct,2024-Operating Revenue_pct,2023-Tax Effect Of Unusual Items_pct,2023-Net Income From Continuing Operation Net Minority Interest_pct,2023-Total Operating Income As Reported_pct,2023-Tax Provision_pct,2023-Other Income Expense_pct,2023-Total Revenue_pct,2022-Tax Effect Of Unusual Items_pct,2022-Normalized EBITDA_pct,2022-Net Income From Continuing Operation Net Minority Interest_pct,2022-Interest Expense_pct,2022-Net Income From Continuing And Discontinued Operation_pct,2022-Total Operating Income As Reported_pct,2022-Tax Provision_pct,2022-Other Income Expense_pct,2022-Other Non Operating Income Expenses_pct,2022-Interest Income Non Operating_pct,2022-Research And Development_pct,2022-Total Revenue_pct,2021-Tax Effect Of Unusual Items_pct,2021-Tax Rate For Calcs_pct,2021-Normalized EBITDA_pct,2021-Net Income From Continuing Operation Net Minority Interest_pct,2021-Reconciled Depreciation_pct,2021-Reconciled Cost Of Revenue_pct,2021-Net Interest Income_pct,2021-Interest Expense_pct,2021-Diluted Average Shares_pct,2021-Diluted EPS_pct,2021-Tax Provision_pct,2021-Other Income Expense_pct,2021-Other Non Operating Income Expenses_pct,2021-Interest Income Non Operating_pct,2021-Operating Expense_pct,2021-Selling General And Administration_pct,2021-Total Revenue_pct
MMM,Industrials,261188000.0,0.167,5809000000.0,4009000000.0,1363000000.0,14447000000.0,-739000000.0,1191000000.0,552400000.0,7.55,804000000.0,736000000.0,-828000000.0,-739000000.0,1191000000.0,452000000.0,5306000000.0,1085000000.0,4221000000.0,9144000.0,0.254,-2867000000.0,109000000.0,110385000.0,0.045,232000000.0,0.0,0.178,18795000000.0,488000000.0,585300000.0,297000000.0,9191000000.0,7197000000.0,6.795523906408953e-10,23.637843336724313,16.313326551373347,5.546286876907426,58.78738555442523,-3.007121057985758,4.846388606307222,11.01195523906409,2.2478128179043746,3.072227873855544e-08,3.271617497456765,2.994913530010173,-3.3692777212614446,-3.007121057985758,1.8392675483214649,21.591047812817905,4.415055951169888,17.175991861648015,100.0,100.0,0.037155627793579844,-34.14059325477448,-43.43356359203575,-11.64973587972369,0.5891913856156035,100.0,0.42194487978288286,15.458124689423187,15.33962769007301,1.765987538702649,22.082489201483124,16.70043194067505,0.7186269638010779,10.263369137265395,0.8868162532013302,0.2484614502503727,4.43408126600665,100.0,0.0,5.034648564559468e-10,27.17295997737237,16.747277612784615,5.416489888276057,53.160797624098436,-1.30674586338566,1.380285673879225,1.6554942723801442,2.8623957007495403e-08,3.6345637109319755,0.8400509121764956,0.8400509121764956,0.07353981049356527,25.99632300947532,20.356385235468817,100.0
AOS,Industrials,-4206400.0,0.239,804100000.0,533600000.0,78800000.0,2362000000.0,-6700000.0,6700000.0,147084080.0,3.63,167400000.0,-9100000.0,8500000.0,-6700000.0,6700000.0,36300000.0,739300000.0,775000000.0,739300000.0,-4530800.0,0.241,176900000.0,6900000.0,0.0,0.21,-425600000.0,0.0,0.221,2228000000.0,4300000.0,161320000.0,20400000.0,701400000.0,701400000.0,6.259657945051204e-09,21.060213195044657,13.975537571043189,2.0638537492470075,61.86323040255625,-0.17547995076084963,0.17547995076084963,14.326329849925356,3.8522846441947567,9.507346585998272e-08,4.384379665278542,-0.2383384405856316,0.22262381812943613,-0.17547995076084963,0.3086432874336268,19.363033969775543,8.291932812869646,19.363033969775543,100.0,100.0,-0.11759759136212625,14.446636212624583,17.27975981174434,4.591465946843854,-0.30886627906976744,100.0,0.0,8.258078265270786,6.2788033778204,0.250406244172727,6.2788033778204,17.27975981174434,-0.31966754575241746,-11.337542289352406,-11.337542289352406,0.3086432874336268,8.291932812869646,100.0,0.0,6.244878352030292e-09,20.000565147362177,13.764164005764504,2.201248975670406,62.95741614626014,-0.12150668286755771,0.12150668286755771,4.558478623301026,8.533725168837775e-08,3.9136454830597076,0.5764503094181808,0.5764503094181808,0.3086432874336268,19.819717991466273,19.819717991466273,100.0
ABT,Health Care,5670000.0,0.21,10763000000.0,13402000000.0,3218000000.0,17366000000.0,-215000000.0,559000000.0,1748000000.0,7.64,-6389000000.0,403000000.0,376000000.0,-215000000.0,559000000.0,344000000.0,16419000000.0,2844000000.0,11697000000.0,-5781000.0,0.141,941000000.0,479000000.0,-330604.382374,0.165302,321000000.0,-139000.0,0.139,17046000000.0,533000000.0,1789000000.0,277000000.0,16113000000.0,11324000000.0,5.005959475566149e-10,25.656734207389746,31.94755661501788,7.671036948748509,41.3969010727056,-0.5125148986889154,1.33253873659118,31.896710369487487,4.166865315852205,1.8212157330154945e-08,-15.230035756853397,0.9606674612634089,0.8963051251489869,-0.5125148986889154,0.8200238379022645,39.13945172824791,6.779499404052443,27.883194278903456,100.0,100.0,-0.014413223964696202,14.268618015906654,16.150988556184398,2.346106858809743,1.0920242339624524,100.0,-0.0007573463046617643,27.794195129773442,15.882069960827435,1.278262662359975,15.882069960827435,19.155613588985865,3.145259203262089,0.730763063248803,0.7353446498522438,0.4192151742148306,6.615811055368474,100.0,-0.0003226929773650609,3.2269297736506097e-10,28.515380150899595,16.415554265815437,8.213580963435868,39.57283807312827,-1.1375507835171212,1.2373766686012768,4.153221125943123,9.14683691236216e-09,2.6465467208357514,0.640742890307603,0.6430644225188625,0.09982588508415553,37.40684852002322,26.289030760301802,100.0
ABBV,Health Care,-583380000.0,0.21,17688000000.0,4278000000.0,8386000000.0,16904000000.0,-2160000000.0,2808000000.0,1773000000.0,2.39,-570000000.0,-6018000000.0,-3240000000.0,-2160000000.0,2808000000.0,648000000.0,27536000000.0,12791000000.0,14752000000.0,-32120000.0,0.22,1377000000.0,-4677000000.0,-17908000.0,0.121,-2448000000.0,-5661000.0,0.111,17446000000.0,2423000000.0,1777000000.0,-2500000000.0,20827000000.0,12349000000.0,3.7277665353072743e-10,31.3984449888167,7.59399297049739,14.88621436432705,30.006745482301984,-3.8342741506017677,4.984556395782298,11.489722015124082,3.147300031952285,4.242553342563993e-09,-1.0118223452976887,-10.682713814037703,-5.751411225902652,-3.8342741506017677,1.1502822451805303,48.87989491248624,22.705648453864452,26.186672347072815,100.0,100.0,-0.05913325232887809,8.952833314923229,23.485768990021725,2.535071247100409,-8.879192901064103,100.0,-0.030847142315774966,41.89547662521101,20.387914700106798,3.841251248837289,20.387914700106798,31.207151961966446,2.8111758018396666,-4.4716987632204495,-4.2167637027595,0.3203913597684914,12.41430392393289,100.0,-0.01007349146751606,1.9751944053953056e-10,42.678434791892805,20.53846290727263,15.162731106642704,31.044361798672526,-4.242219335551719,4.311618057903447,3.1620905030517643,1.1477481004324074e-08,2.5624143637560723,-4.539388223570653,-4.448636048187626,0.06939872235172696,37.06069719024147,21.974482623627594,100.0
ACN,Information Technology,0.0,0.235,11188334000.0,7264787000.0,1430042000.0,43734147000.0,213287000.0,58969000.0,635940044.0,11.44,2280126000.0,-109811000.0,-109811000.0,213287000.0,58969000.0,272256000.0,11566470000.0,775000000.0,11128030000.0,0.0,0.234,2135802000.0,96559000.0,-23110560.0,0.24,-72533000.0,0.0,0.228,34169261000.0,59492000.0,645909042.0,165714000.0,8742599000.0,8742599000.0,3.6211526101021466e-10,17.24028292204025,11.194426556121764,2.2035746046194444,67.39064704665573,0.3286573518088751,0.0908662758574951,11.194426556121764,0.979930191574074,1.762807908917811e-08,3.513482645217773,-0.16920952734805397,-0.16920952734805397,0.3286573518088751,0.4195236276663702,17.82295873624178,8.291932812869646,17.147359523317018,100.0,100.0,0.0,10.718093853162163,13.741458760793362,3.331373993953838,0.15061046926737057,100.0,-0.03752061168642133,17.29140218401685,11.165267633103419,0.07682528441549913,11.165267633103419,15.207868649544793,3.583459542241771,-0.274095145646988,-0.11775926362023242,0.07327463147769912,8.291932812869646,100.0,0.0,4.511868380725465e-10,19.218679356731844,11.68892313951079,3.7425592017982408,67.61719662221745,-0.051702449641760614,0.11772810250268392,1.278182712028279,1.8126629108528623e-08,3.5037646099690645,0.3279297179138332,0.3279297179138332,0.0660256528609233,17.300638593623713,17.300638593623713,100.0
ADBE,Information Technology,-196400000.0,0.2,8939000000.0,5560000000.0,857000000.0,1670000000.0,172000000.0,169000000.0,449700000.0,12.36,1371000000.0,-982000000.0,1000000.0,172000000.0,169000000.0,341000000.0,11406000000.0,3944000000.0,7293000000.0,-1600000.0,0.2,1371000000.0,1000000.0,-8400000.0,0.21,1000000.0,-150000.0,0.15,1249000000.0,113000000.0,481000000.0,1000000.0,8118000000.0,5406000000.0,9.300162752848175e-10,41.56707742385492,25.854452452917926,3.9851197395954427,7.765635898628226,0.7998139967449431,0.7858637526156709,29.50755638223669,2.091141594977912,5.747500581260172e-08,6.375261567077424,-4.566379911648453,0.005152248956669586,0.7998139967449431,1.5856777493606138,53.03882817949314,18.3399209486166,33.91304347826087,100.0,100.0,-0.008243598330671337,27.96640733680251,34.262455561852754,7.063733319594003,-0.03606574269668711,100.0,-0.04771100761104169,39.850051118936726,27.013518118823125,0.6361467681472225,27.013518118823125,34.635919572872886,7.111212086788594,-0.22151539247983643,0.005679881858457345,0.346472793365898,16.965807111212087,100.0,-0.0009502692429521698,9.502692429521698e-10,41.856192587899905,30.54798859676908,4.992081089642066,7.9125752296484,-0.6081723154893887,0.7158694963573012,3.0471967057332914,6.347798542920494e-08,5.593918276845106,-0.0063351282863477985,0.06469159273341783,0.10769718086791258,51.42857142857142,34.2477035159962,100.0
AMD,Information Technology,-35340000.0,0.19,5444000000.0,1641000000.0,3177000000.0,11331000000.0,90000000.0,92000000.0,1637000000.0,1.0,381000000.0,-187000000.0,-3000000.0,90000000.0,92000000.0,182000000.0,10639000000.0,6456000000.0,2783000000.0,0.0,0.21,-346000000.0,-8000000.0,0.0,0.21,5000000.0,-978740.801308,0.13982,8042000000.0,34000000.0,1229000000.0,-2000000.0,4281000000.0,1448000000.0,7.36862516967229e-10,21.113050222997867,6.364165212332752,12.32111692844677,43.94415357766143,0.34904013961605584,0.35679658716307927,6.948458406050029,6.348652317238705,3.8782237735117315e-09,1.4776032577079699,-0.7252278456466938,-0.011634671320535195,0.34904013961605584,0.7058367267791352,41.26042272639131,25.03781268179174,10.793096761683149,100.0,100.0,0.0,3.7654320987654324,1.7680776014109347,-1.525573192239859,-0.03968253968253968,100.0,0.0,23.448158976314563,5.592983348163213,0.3728655565442142,5.592983348163213,5.355705266725986,-0.5169272488453879,-0.24151519003432056,0.021185542985466717,0.2754120588110673,21.206728528452185,100.0,-0.005955584771254716,8.507971279055616e-10,25.392479006936835,19.240598758671048,2.8173299257636604,48.93513447730315,-0.1582085919435317,0.2068881586953876,7.478398442253864,1.5638310819033708e-08,3.12157721796276,0.28599245466715345,-0.012169891687963978,0.04867956675185591,26.049653158086894,8.81100158208592,100.0
AES,Utilities,2030000.0,0.07,3614000000.0,1686000000.0,1264000000.0,9964000000.0,-1104000000.0,1485000000.0,712000000.0,0.35,59000000.0,-28000000.0,-57000000.0,-1104000000.0,1485000000.0,381000000.0,288000000.0,775000000.0,288000000.0,-284130000.0,0.21,261000000.0,-24000000.0,-339360000.0,0.21,-166000000.0,-390390000.0,0.13,8430000000.0,911000000.0,670491803.0,7000000.0,166000000.0,166000000.0,5.701254275940707e-10,29.434761361785306,13.731878156051474,10.294836292555791,81.15328229353315,-8.991692458055057,12.094803713959928,13.512216973448442,5.620461004104831,2.7628670666245654e-09,0.48053428897214534,-0.22805017103762829,-0.4642449910408861,-8.991692458055057,3.103111255904871,2.3456589021013197,8.291932812869646,2.3456589021013197,100.0,100.0,-2.242895484685823,1.9103252289232713,17.27975981174434,2.060309441111462,-10.869908430691506,100.0,-2.689704367123722,28.81826107632559,-4.3274946500752955,8.853134659586273,-4.3274946500752955,17.27975981174434,2.1003408100182295,-14.123801220575412,-1.3156851866529287,3.083141792819212,8.291932812869646,100.0,-3.5040840140023337,1.1668611435239207e-09,35.059689435418726,-3.707028094425994,9.47850282739431,75.66645723005117,-5.502199084462795,8.17700385961763,6.018237169015348,-5.475271519612243e-09,-1.1937887083744725,-26.891661430751277,0.06283098465128804,2.6748047751548336,1.4899919217305448,1.4899919217305448,100.0
AFL,Financials,0.0,0.152,2655000000.0,5443000000.0,679572000.0,6616000000.0,-197000000.0,197000000.0,565015000.0,9.63,974000000.0,100000000.0,6851000.0,-197000000.0,197000000.0,36300000.0,2447426000.0,775000000.0,1757000000.0,0.0,0.115,603000000.0,6851000.0,0.0,0.092627,6851000.0,0.0,0.187,6616000000.0,238000000.0,676729000.0,6851000.0,2447426000.0,1757000000.0,7.946465913843579e-10,25.063662314593255,28.455667084901716,4.84028405288532,56.35347463882737,-1.0299038059389376,1.0299038059389376,28.455667084901716,2.9538634462567965,5.034504391468006e-08,5.092011710581347,0.5227938101212881,0.06469159273341783,-1.0299038059389376,0.3086432874336268,23.182414942190793,8.291932812869646,16.187547075069045,100.0,100.0,0.0,24.727986837216708,17.27975981174434,3.200467066503901,0.9394405817101003,100.0,0.0,25.063662314593255,23.069291420813535,1.1800950342018695,23.069291420813535,17.27975981174434,2.3549684089603677,1.1487650775416427,0.06469159273341783,0.3086432874336268,8.291932812869646,100.0,0.0,8.67910517033324e-10,25.063662314593255,19.63705560196788,4.84028405288532,56.35347463882737,-1.1046133853151396,1.1046133853151396,3.140856771558526,2.9657477025898077e-08,4.534484359045762,0.8029332590736099,0.06469159273341783,0.3086432874336268,23.182414942190793,16.187547075069045,100.0
A,Health Care,0.0,0.153,1874000000.0,1289000000.0,257000000.0,2975000000.0,-16000000.0,96000000.0,291000000.0,4.43,232000000.0,49000000.0,49000000.0,-16000000.0,96000000.0,80000000.0,2047000000.0,479000000.0,1568000000.0,0.0,0.074,99000000.0,33000000.0,0.0,0.166,-39000000.0,0.0,0.11,2912000000.0,81000000.0,307000000.0,92000000.0,2060000000.0,1619000000.0,2.350230414746544e-09,28.786482334869433,19.80030721966206,3.947772657450077,45.69892473118279,-0.2457757296466974,1.4746543778801844,19.80030721966206,4.470046082949309,6.804915514592933e-08,3.5637480798771124,0.7526881720430108,0.7526881720430108,-0.2457757296466974,1.228878648233487,31.443932411674346,7.357910906298002,24.086021505376344,100.0,100.0,0.0,18.147226693985072,19.75706132006439,1.4488511634713888,0.4829503878237963,100.0,0.0,27.818341121495326,18.311915887850468,1.2266355140186915,18.311915887850468,23.62733644859813,3.6507009345794392,-0.5695093457943925,-0.5695093457943925,0.1314252336448598,6.819509345794393,100.0,0.0,1.740781769267289e-09,27.88415888589967,19.14859946194018,5.07991770849818,46.0832410191486,-1.250197816110144,1.2818483937331857,4.858363665136888,6.235163791739199e-08,2.3737933217281215,1.4559265706599145,1.4559265706599145,0.031650577623041624,32.60009495173286,25.62114258585219,100.0
